option,Voltage (V),Current (mA),Rl,V_inf = 6
2,5.953,59.68,100,0
2,6.018,27.366,220,0
2,6.047,13.091,470,0
2,6.07,2.252,2700,0
1,6.034,59.73,100,0
1,6.066,27.361,220,0
1,6.071,13.09,470,0
1,6.072,2.251,2700,0
1,6,2.224,2700,1
1,6,12.935,470,1
1,6,27.051,220,1
1,6,59.05,100,1
1,9.998,98.34,100,1
1,10,45.09,220,1
1,10,21.564,470,1
1,10,3.709,2700,1
1,14.997,147.43,100,1
1,15,67.64,220,1
1,15,32.33,470,1
1,15,5.564,2700,1
1,19.999,196.2,100,1
1,20.001,90.18,220,1
1,20.003,43.11,470,1
1,20.003,74.18,2700,1
2,9.819,98.38,100,1
2,9.918,45.08,220,1
2,9.962,21.561,470,1
2,9.995,3.709,2700,1
2,14.729,147.5,100,1
2,14.878,67.62,220,1
2,14.944,32.336,470,1
2,14.992,5.565,2700,1
2,19.642,196.5,100,1
2,19.84,90.14,220,1
2,19.925,43.1,470,1
2,19.99,7.421,2700,1
2,5.892,59.1,100,1
2,5.952,27.062,220,1
2,5.976,12.939,470,1
2,5.996,2.225,2700,1